"Interest","Zinsen für Ratenzahlung"
"Verify Credentials with easyCredit","easyCredit Zugangsdaten überprüfen"
"New Order Status","Status neuer Bestellungen"
"Unfortunately, easyCredit payment cannot be offered.","Leider kann der Ratenkauf bei easyCredit nicht angeboten werden."
"easyCredit payment has been canceled.","Ratenkauf by easyCredit wurde abgebrochen."
"Unable to initialize easyCredit Payment.","easyCredit Zahlung kann nicht initialisiert werden."
"Unable to initialize easyCredit Checkout review.","easyCredit Bestellübersicht kann nicht initialisiert werden."
"Unable to validate easyCredit Payment.","easyCredit Zahlung kann nicht validiert werden."
"Unable to start easyCredit Payment.","easyCredit Zahlung kann nicht gestartet werden."
